name,price,description,link_image
Cát Gỗ Thông Premium Nature Pine Wood,25.000₫,"THÔNG TIN CHI TIẾT
 Xuất xứ  Italia 
 Thành phần  100% từ tự nhiên, thành phần tự phân huỷ
 HDSD  Dùng cho thú cưng đi vệ sinh với sự thấm hút tuyệt vời chỉ sau 2s
 Thể tích  
 Khối lượng  
MÔ TẢ SẢN PHẨM
Cát gỗ thông Premium Nature Pine Wood nổi tiếng trên thị trường với công nghệ vượt trội từ Ý thấm hút và khử mùi nhanh chỉ sau 2s.
Cát gỗ thông Premium Nature Pine Wood nổi tiếng với thành phần thiên nhiên, không gây hại cho mèo, hamster, nhím,... và con người khi sử dụng. Với thành phần tự phân huỷ 100% và mùi hương tự nhiên, sản phẩm chắc chắn sẽ làm bạn hài lòng khi lựa chọn cho thú cưng đi vệ sinh. Đặc biệt, bạn có thể hoàn toàn xử lí chất thải và cát gỗ thông này bằng bồn cầu.
Cát gỗ thông Premium Nature Pine Wood sẽ ngăn chặn vi khuẩn phát triển tối đa, giữ cho chậu vệ sinh của thú cưng luôn sạch sẽ. 
Sản phẩm đảm bảo an toàn, không gây hại cho môi trường, không chất bảo quản và không có hương liệu.
#catvesinh #thucung #kunmiupetshop
 ",https://bizweb.dktcdn.net/100/229/172/products/ca-t-go-tho-ng-premium-nature-pine-wood-1.jpg?v=1654931263203
Khay Vệ Sinh Cỡ Lớn Cho Mèo 0165,200.000₫,"Sản phẩm Khay vệ sinh cho mèo 0165 có kèm Xẻng xúc phân là sản phẩm dùng để đựng cát vệ sinh cho mèo, giúp mèo đi vệ sinh đúng chỗ..
Sản phẩm được làm từ chất liệu nhựa PP không độc hại, an toàn cho người và vật nuôi..
Khay vệ sinh 0165 hình dáng chữ nhật bo cong 4 góc, thành cao rất hiện đại, có 3 màu sắc là hồng, xanh lá và xanh dương.
Kích cỡ Sản phẩm : 56*45*24cm
Công dụng của sản phẩm:
- Giúp thú cưng đi vệ sinh được dễ dàng hơn.
- Xẻng đi kèm giúp bạn dễ dàng dọn dẹp, lau chùi và vệ sinh hơn; không bị vấy bẩn ra khắp nhà.
- Phần nắp cong vào bên trong giúp cho cát vệ sinh không bị bắn tung tóe khi thú cưng đi vệ sinh.
- Bạn có thể đổ cát vệ sinh hoặc tấm lót hút khử mùi bên dưới khay để loại bỏ mùi hôi của phân và nước tiểu.
- Sản phẩm Khay vệ sinh cho mèo 0165 rất tiện lợi cho những gia đình ở thành phố không có nhiều không gian.",https://bizweb.dktcdn.net/100/229/172/products/khay-ve-sinh-cho-meo-0165-2.jpg?v=1570025151923
Xẻng Hót Phân Cho Mèo Cán Dài (PK),50.000₫,"- Xẻng hót phân cho mèo cán dài là dụng cụ dọn dẹp khay vệ sinh cho mèo, cụ thể là dọn phân, nước tiểu vón cục trong khay, giúp chúng ta dễ dàng loại bỏ những chất thải của mèo và giữ lại phần cát vệ sinh còn sạch..
- Sản phẩm được sản xuất từ vật liệu nhựa cao cấp có độ bền cao, hiết kế có rãnh để lọc các hạt cát vón cục, giúp việc vệ sinh khay cát của mèo trở nên dễ dàng hơn.
- Xẻng hót phân cán dài có chiều dài 33,5 cm, độ rộng của phần xúc là 11 cm, chiều dài phần xúc là 12,5 cm
- Xẻng có trọng lượng nhẹ giúp chung ta dễ dàng sử dụng bằng 1 tay.
Sản phẩm được bán tại tất cả các chi nhánh của Kún Miu pet shop, cũng như website kunmiu.vn hoặc các kênh thương mại điện tử của Kún Miu.
 ",https://bizweb.dktcdn.net/100/229/172/products/xeng-hot-phan-can-dai.jpg?v=1504433068057
Máy Mài Móng Cho Chó Mèo Codos,350.000₫,"Bạn là người thích nuôi thú cưng, bạn đang sở hữu 1 chú cún hay 1 chú mèo dễ thương thì ngoài việc lo cho các cún bữa ăn thì việc tắm rửa, vệ sinh, cắt lông, tỉa lông cho các cún là việc bạn thường xuyên phải làm. Ngoài ra việc cắt móng, mài móng cho thú cưng cũng là công việc mà nhiều bạn nuôi thú cần chú ý, quan tâm.
Máy mài móng cho chó mèo Codos  sẽ giúp các bạn cắt móng cho thú cưng một cách dễ dàng. Máy mài móng cho chó được thiết kế với động cơ mạnh mẽ, hoạt động liên tục trong 2 tiếng đồng hồ. Có khả năng mài móng nhanh, đẹp mà không làm thú cưng sợ hãi. Thiết kế gọn nhẹ, có thể cắm điện trực tiếp đồng thời mài móng cho chó mèo.
Thông tin sản phẩm:
-  Máy mài móng cho chó mèo Codos.
-  Điện áp 100-240V
-  Trọng lượng: 180gram.
-  Adapter input AC 100-200V 50/60Hz
-  Output DC 2.4V/800mA
-   Bảo hành: 12 tháng.
  Tên sản phẩm
Máy Mài Móng Cho Chó Mèo CP
   Màu sắc
Trắng
  Trọng lượng:
300g
  Kích thước máy:
4cm x 15cm
  Chất liệu:
Nhựa ABS
  Đối tượng sử dụng:
Chó, mèo,...
  Sạc:
  Nguồn: AC 100-240V  50/60Hz   DC  2.  4V  800mA
Thời gian sạc: 2 giờ
Sử dụng: 3 giờ
    Pin:
  Ni-Mh 1.2V 450mAh
    Tiếng ồn:
< 50 db ( bằng tiếng máy điều hòa)
  Đặc điểm nổi bậc
  -    Thiết kế nhỏ gọn, dễ cầm nắm, cắt được ở những góc, khuỷu.
-    Máy có đèn led báo pin
-    Đầu mài có thể tháo rời, dễ dàng vệ sinh.
-    Sạc nhanh, thời gian sử dụng lâu vượt trội.
-    Công tắt trên thân máy, dễ dàng sử dụng bằng hai tay.
    Sản xuất - thiết kế:
  -  Thiết kế: sản phẩm được thiết kế tại Hàn Quốc.
-  Sản xuất: tại nhà máy codos electrical appliances co. Ltd - Thẩm Quyến -  Trung Quốc theo những tiêu chuẩn khắc khe nhất của các kĩ sư người Hàn Quốc.
    Bộ sản phẩm bao gồm
  -  Thân máy Máy mài móng cho chó mèo Codos.
-  Sạc với dây dài, có thể dùng điện trực tiếp.
-  Hướng dẫn sử dụng
  Lưu ý khi sử dụng:
  -  Sau khi sử dụng xong, vệ sinh máy cẩn thận, tăng thời gian sử dụng.",https://bizweb.dktcdn.net/100/229/172/products/1286-0-codos-cp3300-may-mai-mong-cho-cho-meo-1000-px-min.jpg?v=1532705355127
Cát Lót Chuồng Cho Thú Cưng Nhỏ (Cvs1),15.000₫,"THÔNG TIN CHI TIẾT
 Xuất xứ  Kún Miu
 Chất liệu  100% đất sodium bentonite
 Trọng   lượng  1kg
 HDSD  Sản phẩm dùng để lót chuồng, chậu vệ sinh cho thú cưng nhỏ
 Lưu ý  Để ở nơi khô ráo, thoáng mát
MÔ TẢ SẢN PHẨM
Cát lót chuồng cho thú cưng nhỏ là loại cát được yêu thích hiện nay bởi người nuôi thỏ, chuột, nhím, hamster,... 
TÍNH NĂNG Cát lót chuồng cho thú cưng nhỏ:
- Được sản xuất với chất lượng cao theo quy trình hiện đại, với các tính năng vượt trội như kết dinh nhanh, độ vón tốt, dễ dàng xúc bỏ
- Khử mùi hiệu quả, chống ẩm tốt
- Giảm 99% bụi, an toàn cho người và vật nuôi với hương thơm dễ chịu
- Sản phẩm sạch có nguồn gốc thiên nhiên, thân thiện với môi trường.
Cát lót chuồng cho thú cưng nhỏ có dạng hạt tròn, dễ dàng thấm hút, tạo sự dễ chịu cho thú cưng, giúp chúng luôn sạch sẽ mà không lo cát bị vướng trên lông sau khi đi vệ sinh.
#catvesinh #catlitter #hamster #kúnmiu #pet
Cát lót chuồng cho thú cưng nhỏ
  Hạt cát lót chuồng cho thú cưng nhỏ
 ",https://bizweb.dktcdn.net/100/229/172/products/cat-lot-chuong-hamster-2.jpg?v=1617208009273
Khay Vệ Sinh Cho Mèo Hình Chữ Nhật (Kvs),100.000₫,"Sản phẩm Khay vệ sinh cho mèo hình chữ nhật có kèm Xẻng xúc phân:
Giúp thú cưng đi vệ sinh được dễ dàng hơn.
Xẻng đi kèm giúp bạn dễ dàng dọn dẹp, lau chùi và vệ sinh hơn; không bị vấy bẩn ra khắp nhà..
Phần nắp giúp cho cát vệ sinh không bị bắn tung tóe khi thú cưng đi vệ sinh.
Bạn có thể đổ cát vệ sinh hoặc tấm lót hút khử mùi bên dưới khay để loại bỏ mùi hôi của phân và nước tiểu.
Sản phẩm Khay vệ sinh cho mèo hình chữ nhật rất tiện lợi cho những gia đình ở thành phố không có nhiều không gian.
Kích thước : 40cm x 31cm x 12cm",https://bizweb.dktcdn.net/100/229/172/products/khay-ve-sinh-cho-thu-cung-vs1201-e-2.jpg?v=1553093806707
Cát Vệ Sinh Cho Mèo CATLIKE 9L (Cc9),60.000₫,"THÔNG TIN CHI TIẾT
 Tên sản phẩm  Cát vệ sinh cho mèo CATLIKE 8L
 Thành phần  Sodium Bentonite Clay
 HDSD  Dùng cho thú cưng đi vệ sinh với khả năng vón cục hiệu quả
 Thể tích  8L
 Mùi hương   2 mùi: cà phê, hoa hồng
MÔ TẢ SẢN PHẨM
Cát vệ sinh cho mèo CATLIKE 8L là loại cát vệ sinh đất sét nổi tiếng trên thị trường bởi chất lượng tuyệt vời: khả năng thấm hút tuyệt đối và giá cả phải chăng.
Cát vệ sinh cho mèo CATLIKE 8L có thành phần từ Sodium Bentonite Clay khiến chất thải vón cục ngay lập tức và thấm hút tuyệt đối. Bên cạnh đó, lưu hương dài lâu cũng là một điểm cộng của sản phẩm. Mùi cà phê và hoa hồng sẽ đánh bật mùi hương khó chịu của các chất thải thú cưng.
Cát vệ sinh cho mèo CATLIKE 8L đảm bảo lành tính, phù hợp với mọi giống mèo.
#catvesinh #catlike #kunmiupetshop
  Cát vệ sinh cho mèo CATLIKE 8L mùi hoa hồng
  Cát vệ sinh cho mèo CATLIKE 8L mùi cà phê
 ",https://bizweb.dktcdn.net/100/229/172/products/ca-t-ve-sinh-cho-me-o-catlike-8l-ca-phe.jpg?v=1640706978527
Nhà Vệ Sinh Cho Mèo New,370.000₫,"Nhà vệ sinh cho mèo New – giải quyết mọi vấn đề “khó nhằn” trong chuyện vệ sinh của chó mèo cho khổ chủ..
+ Không còn lo những chú mèo thích cào bới chậu, cát tung tóe ra sàn.
+ Không còn khó chịu khi mèo đi vệ sinh, chưa kịp dọn thì mùi xú uế đã om trong phòng.
+ Không còn suy nghĩ vấn đề các chú mèo vụng về, hay làm rơi sản phẩm nặng nhẹ ra ngoài chậu hay khiến chậu lật.
Nhà vệ sinh cho mèo New – SẢN PHẨM CỰC TIỆN DỤNG
● Thiết kế dành riêng cho mèo đi vệ sinh với kiểu dáng bắt mắt, chất lượng nhựa bền, đẹp, lỳ, cực kỳ thích mắt.
● Thiết kế dạng hộp kín, không lo cát hay sản phẩm vệ sinh rơi vãi ra ngoài.
● Cánh cửa ra vào hộp khá rộng, đung đưa lạ mắt.
● Tặng kèm khay đựng phân, xẻng.
● Có hộp thông hơi trên nóc thùng, có thể để hạt hút mùi hay túi thơm.
● Có thể tháo rời, thuận tiện cho việc vận chuyển.
● Kích thước Nhà vệ sinh cho mèo New  size to: 60x40x50cm , size nhỏ: 52x40x39cm",https://bizweb.dktcdn.net/100/229/172/products/nha-ve-sinh-new-800px-min.jpg?v=1540867869860
Cát Vệ Sinh Cho Mèo Happy Cat 9L (Hp9),85.000₫,"THÔNG TIN CHI TIẾT
 Sản phẩm  Cát vệ sinh cho mèo Happy Cat 9L
 Công dụng
 - Vón cục siêu tốc chỉ với 3s
 - Chống ẩm tối đa, khử mùi hiệu quả, hương thơm bền lâu
 - Chống bụi tuyệt đối, an toàn cho thú cưng và con người
 - Thân thiện với môi trường, không gây độc hại
 Thể tích  9L
 Mùi hương  Chanh và cà phê
 Quy cách  Gói 9L, tải 4 gói (36L)
MÔ TẢ SẢN PHẨM
Cát vệ sinh cho mèo Happy Cat 9L là cát vệ sinh nổi tiếng trên thị trường với công dụng vón cục vượt trội x3, chỉ với 3s.
Cát vệ sinh cho mèo Happy Cat 9L được sản xuất 100% từ đất sodium bentonite theo quy trình hiện đại, ứng dụng công nghệ kháng khuẩn tuyệt đối, giúp an toàn và lành tính với thú cưng và người dùng.
Cát vệ sinh cho mèo Happy Cat 9L có các tính năng ưu việt như sau:
1. Vón cục siêu tốc chỉ với 3s
Những hạt cát được làm từ đất sét sodium bentonite cao cấp kết dính siêu nhanh, vón cục tuyệt vời sẽ giúp bạn xúc bỏ dễ dàng chất thải của thú cưng. Từ đó tiết kiệm cát vệ sinh và không còn phải khó chịu vì tình trạng cát bị vụn, nát.
2. Chống ẩm tối đa, khử mùi hiệu quả, hương thơm bền lâu
Áp dụng công nghệ hiện đại giúp hạt chống ẩm tuyệt đối, bạn sẽ không phải lo ngại những ngày nồm ẩm hay mưa gió ảnh hưởng đến chất lượng cát mèo. Đặc biệt cát Happy cat có 2 mùi: cà phê và chanh đặc trưng cực kì thơm mát, dễ chịu với lưu hương lâu. 
3. Chống bụi tuyệt đối, an toàn cho thú cưng và con người
Công nghệ khử bụi hiệu quả, chắt lọc những thành phần đất sét sodium bentonite tinh khiết nhất giúp giảm bụi tới 99,99% mang đến sự an toàn cho sức khỏe.
4. Thân thiện với môi trường, không gây độc hại
Mùi hương: Chanh và cà phê
Quy cách: Túi 9L nặng 5.7kg, bao 4 gói.
#happycat #catdaunanh #khumui #khangkhuan #catvesinh #kunmiupetshop
 ",https://bizweb.dktcdn.net/100/229/172/products/ca-t-happy-cat-9l-1-go-i.jpg?v=1661230982837
Khay Vệ Sinh Cho Chó Thành Cao Có Trụ Diil LS 178,180.000₫,"Khay vệ sinh cho chó thành cao có trụ Diil LS 178 là sản phẩm dùng để cho chó đi vệ sinh trong nhà, đặc biệt phù hợp với những gia đình ở chung cư hay khu dân cư không có chỗ cho chó đi vệ sinh..
Khay vệ sinh cho chó thành cao có trụ Diil LS 178 được sản xuất từ vật liệu nhựa cao cấp an toàn cho người và vật nuôi.
Cấu tạo của sản phẩm bao gồm 1 khay vệ sinh có thành cao + 1 trụ nhựa.
Phần lót khay vệ sinh có thể tháo rời để rửa dễ dàng.
Kích thước - Trọng lượng 
Size S- KT : 45*34*11.5cm -  1.5kg
Size M- KT: 60*44*13cm - 2.5 kg",https://bizweb.dktcdn.net/100/229/172/products/khay-vs-thanh-cao-co-tru-diil-ls178-1.jpg?v=1560016448170
Bàn Chải Tắm Tạo Bọt Cho Chó Mèo Silicon Massage,30.000₫,"THÔNG TIN CHI TIẾT
 Sản phẩm  Bàn chải tắm tạo bọt cho chó mèo Silicon Massage
 Chất liệu  Silicon cao cấp
 Công dụng
 - Tạo bọt cực bông, mang lại cảm giác êm ái, thư giãn cho chó mèo khi tắm và massage
 - Loại bỏ bụi bẩn, sạch sâu tới từng tơ lông
 - Giúp lưu thông máu tốt hơn
 Màu sắc  Xanh, hồng, vàng
MÔ TẢ SẢN PHẨM
Bàn chải tắm tạo bọt cho chó mèo Silicon Massage là dụng cụ hữu dụng với độ đàn hồi cao, rất hiệu quả khi tắm và massage cho thú cưng.
Bàn chải tắm tạo bọt cho chó mèo Silicon Massage được làm từ chất liệu silicone cao cấp giúp tạo bọt cực bông, mang lại cảm giác êm ái cho thú cưng khi tắm và massage. Đây được coi như một phương pháp thư giãn mà bạn hoàn toàn có thể thực hiện cho các Boss tại nhà khi tắm cho chúng. Không những giúp sạch sâu vào từng tơ lông, bàn chải còn giúp máu dưới da lưu thông tốt hơn, khiến mèo thoải mái và dễ chịu hơn.
Cách dùng Bàn chải tắm tạo bọt cho chó mèo Silicon Massage:
1. Mở phần thân của bạn chải có chức năng chứa sữa tắm, đổ 1 lượng sữa tắm vào rồi đóng chặt nắp.
2. Xoa bóp nhẹ bàn chải để sữa tắm tới tất cả lỗ nhỏ và các gai bàn chải.
3. Sau khi dùng xong, bạn hoàn toàn có thể treo sản phẩm lên cao nhờ chiếc quai thông minh.
Sản phẩm có 3 màu sắc xinh xắn để bạn lựa chọn: xanh, hồng, vàng.
#banchaitam #silicon #chomeo #kunmiupetshop
   ",https://bizweb.dktcdn.net/100/229/172/products/ba-n-cha-i-ta-m-ta-o-bo-t-cho-cho-me-o-silicon-massage-va-ng.jpg?v=1662303277143
